Method 1,Method 2,Method 3,Method 4,Method 5,Method 6
1.0013580322265625e-05,1.6927719116210938e-05,3.910064697265625e-05,3.266334533691406e-05,3.528594970703125e-05,2.9802322387695312e-05
1.0013580322265625e-05,1.71661376953125e-05,3.886222839355469e-05,3.409385681152344e-05,3.4809112548828125e-05,3.0994415283203125e-05
1.0013580322265625e-05,1.71661376953125e-05,3.886222839355469e-05,3.2901763916015625e-05,3.504753112792969e-05,3.0994415283203125e-05
9.298324584960938e-06,1.6927719116210938e-05,3.886222839355469e-05,3.409385681152344e-05,3.600120544433594e-05,3.0040740966796875e-05
8.821487426757812e-06,1.811981201171875e-05,3.886222839355469e-05,3.314018249511719e-05,3.600120544433594e-05,3.0994415283203125e-05
9.059906005859375e-06,1.6927719116210938e-05,4.076957702636719e-05,3.409385681152344e-05,3.62396240234375e-05,3.0994415283203125e-05
9.059906005859375e-06,1.6927719116210938e-05,4.00543212890625e-05,3.3855438232421875e-05,3.62396240234375e-05,4.57763671875e-05
1.4781951904296875e-05,1.9311904907226562e-05,4.291534423828125e-05,3.600120544433594e-05,3.886222839355469e-05,3.1948089599609375e-05
1.0013580322265625e-05,1.811981201171875e-05,4.100799560546875e-05,3.5762786865234375e-05,3.719329833984375e-05,3.0994415283203125e-05
9.059906005859375e-06,1.7881393432617188e-05,4.1961669921875e-05,3.504753112792969e-05,3.790855407714844e-05,3.1948089599609375e-05
9.059906005859375e-06,1.7881393432617188e-05,4.220008850097656e-05,3.5762786865234375e-05,4.00543212890625e-05,3.1948089599609375e-05
8.821487426757812e-06,1.8358230590820312e-05,4.1961669921875e-05,3.5762786865234375e-05,3.814697265625e-05,3.1948089599609375e-05
9.298324584960938e-06,1.8835067749023438e-05,4.1961669921875e-05,3.600120544433594e-05,3.814697265625e-05,3.1948089599609375e-05
8.821487426757812e-06,1.7881393432617188e-05,4.1961669921875e-05,3.600120544433594e-05,3.790855407714844e-05,3.314018249511719e-05
1.0013580322265625e-05,1.9073486328125e-05,4.291534423828125e-05,5.1975250244140625e-05,4.00543212890625e-05,3.2901763916015625e-05
1.1205673217773438e-05,1.8835067749023438e-05,4.291534423828125e-05,3.719329833984375e-05,3.886222839355469e-05,3.0994415283203125e-05
8.821487426757812e-06,1.5735626220703125e-05,3.814697265625e-05,3.314018249511719e-05,3.409385681152344e-05,2.9802322387695312e-05
1.0013580322265625e-05,1.6927719116210938e-05,3.814697265625e-05,3.266334533691406e-05,3.504753112792969e-05,3.0040740966796875e-05
9.059906005859375e-06,1.71661376953125e-05,3.886222839355469e-05,3.314018249511719e-05,3.504753112792969e-05,2.9802322387695312e-05
8.821487426757812e-06,1.6927719116210938e-05,3.933906555175781e-05,3.266334533691406e-05,3.504753112792969e-05,3.0994415283203125e-05
8.821487426757812e-06,1.71661376953125e-05,3.886222839355469e-05,3.314018249511719e-05,3.600120544433594e-05,3.0040740966796875e-05
9.059906005859375e-06,1.6927719116210938e-05,3.886222839355469e-05,3.933906555175781e-05,3.5762786865234375e-05,3.0994415283203125e-05
8.821487426757812e-06,1.71661376953125e-05,3.886222839355469e-05,3.2901763916015625e-05,3.600120544433594e-05,3.0994415283203125e-05
9.298324584960938e-06,1.6689300537109375e-05,4.00543212890625e-05,3.2901763916015625e-05,3.600120544433594e-05,3.0994415283203125e-05
7.867813110351562e-06,1.6927719116210938e-05,4.00543212890625e-05,3.3855438232421875e-05,3.62396240234375e-05,3.0994415283203125e-05
7.867813110351562e-06,1.6927719116210938e-05,4.00543212890625e-05,3.361701965332031e-05,3.62396240234375e-05,3.0994415283203125e-05
7.867813110351562e-06,1.7881393432617188e-05,4.029273986816406e-05,3.361701965332031e-05,3.719329833984375e-05,3.0994415283203125e-05
7.867813110351562e-06,1.7881393432617188e-05,4.029273986816406e-05,3.4809112548828125e-05,3.719329833984375e-05,3.0994415283203125e-05
8.106231689453125e-06,1.7881393432617188e-05,3.981590270996094e-05,3.504753112792969e-05,3.719329833984375e-05,3.1948089599609375e-05
1.0251998901367188e-05,1.71661376953125e-05,4.1961669921875e-05,3.504753112792969e-05,3.695487976074219e-05,3.1948089599609375e-05
8.821487426757812e-06,1.6927719116210938e-05,4.1961669921875e-05,3.504753112792969e-05,3.814697265625e-05,3.1948089599609375e-05
9.775161743164062e-06,1.8358230590820312e-05,4.1961669921875e-05,3.504753112792969e-05,3.790855407714844e-05,3.1948089599609375e-05
1.0013580322265625e-05,1.7881393432617188e-05,4.1961669921875e-05,3.504753112792969e-05,3.790855407714844e-05,3.409385681152344e-05
1.0013580322265625e-05,1.7881393432617188e-05,4.100799560546875e-05,3.62396240234375e-05,3.7670135498046875e-05,3.314018249511719e-05
9.775161743164062e-06,1.811981201171875e-05,4.291534423828125e-05,3.600120544433594e-05,3.790855407714844e-05,3.314018249511719e-05
1.0013580322265625e-05,1.7881393432617188e-05,4.291534423828125e-05,3.62396240234375e-05,3.886222839355469e-05,3.2901763916015625e-05
9.059906005859375e-06,1.8835067749023438e-05,4.315376281738281e-05,3.600120544433594e-05,3.886222839355469e-05,3.409385681152344e-05
9.775161743164062e-06,1.9073486328125e-05,4.291534423828125e-05,3.62396240234375e-05,3.886222839355469e-05,3.314018249511719e-05
8.821487426757812e-06,1.9073486328125e-05,4.291534423828125e-05,3.695487976074219e-05,3.910064697265625e-05,3.409385681152344e-05
9.775161743164062e-06,1.9311904907226562e-05,4.291534423828125e-05,3.695487976074219e-05,3.981590270996094e-05,3.409385681152344e-05
1.0013580322265625e-05,1.8835067749023438e-05,4.410743713378906e-05,3.719329833984375e-05,3.981590270996094e-05,3.409385681152344e-05
9.059906005859375e-06,1.9073486328125e-05,4.38690185546875e-05,3.695487976074219e-05,4.029273986816406e-05,3.4809112548828125e-05
1.0013580322265625e-05,1.9073486328125e-05,4.38690185546875e-05,3.814697265625e-05,4.00543212890625e-05,3.504753112792969e-05
9.298324584960938e-06,1.9311904907226562e-05,4.410743713378906e-05,3.7670135498046875e-05,4.00543212890625e-05,3.504753112792969e-05
1.0967254638671875e-05,1.9073486328125e-05,4.506111145019531e-05,3.7670135498046875e-05,4.100799560546875e-05,3.504753112792969e-05
1.0013580322265625e-05,2.002716064453125e-05,4.506111145019531e-05,3.790855407714844e-05,4.00543212890625e-05,3.814697265625e-05
1.0013580322265625e-05,2.0265579223632812e-05,4.482269287109375e-05,3.910064697265625e-05,6.198883056640625e-05,3.790855407714844e-05
1.0967254638671875e-05,2.002716064453125e-05,4.601478576660156e-05,3.886222839355469e-05,4.1961669921875e-05,3.62396240234375e-05
1.0967254638671875e-05,2.002716064453125e-05,4.458427429199219e-05,3.910064697265625e-05,4.100799560546875e-05,3.600120544433594e-05
1.0013580322265625e-05,2.002716064453125e-05,4.601478576660156e-05,3.886222839355469e-05,4.220008850097656e-05,3.504753112792969e-05
9.775161743164062e-06,2.002716064453125e-05,4.601478576660156e-05,3.886222839355469e-05,4.1961669921875e-05,3.600120544433594e-05
1.0013580322265625e-05,2.0265579223632812e-05,4.673004150390625e-05,3.933906555175781e-05,4.1961669921875e-05,3.5762786865234375e-05
1.0013580322265625e-05,2.002716064453125e-05,4.601478576660156e-05,4.00543212890625e-05,4.1961669921875e-05,3.600120544433594e-05
1.0013580322265625e-05,2.0265579223632812e-05,4.673004150390625e-05,4.00543212890625e-05,4.291534423828125e-05,3.62396240234375e-05
1.0013580322265625e-05,2.09808349609375e-05,4.696846008300781e-05,4.00543212890625e-05,4.315376281738281e-05,3.6716461181640625e-05
1.0013580322265625e-05,2.002716064453125e-05,4.7206878662109375e-05,3.981590270996094e-05,4.315376281738281e-05,3.6716461181640625e-05
1.0013580322265625e-05,2.002716064453125e-05,4.8160552978515625e-05,4.076957702636719e-05,4.315376281738281e-05,3.6716461181640625e-05
1.0013580322265625e-05,2.09808349609375e-05,4.8160552978515625e-05,4.00543212890625e-05,4.291534423828125e-05,3.695487976074219e-05
1.0013580322265625e-05,1.9788742065429688e-05,4.935264587402344e-05,4.076957702636719e-05,4.315376281738281e-05,3.790855407714844e-05
1.2159347534179688e-05,2.09808349609375e-05,4.792213439941406e-05,4.100799560546875e-05,4.38690185546875e-05,3.814697265625e-05
1.0967254638671875e-05,2.1219253540039062e-05,4.9114227294921875e-05,4.076957702636719e-05,4.410743713378906e-05,3.695487976074219e-05
1.4066696166992188e-05,2.09808349609375e-05,5.793571472167969e-05,4.1961669921875e-05,4.696846008300781e-05,3.790855407714844e-05
1.0967254638671875e-05,2.09808349609375e-05,4.9114227294921875e-05,4.124641418457031e-05,4.363059997558594e-05,3.814697265625e-05
1.1205673217773438e-05,2.09808349609375e-05,4.887580871582031e-05,4.1961669921875e-05,4.410743713378906e-05,3.790855407714844e-05
